nameseq,A_A,A_C,A_G,A_U,C_A,C_C,C_G,C_U,G_A,G_C,G_G,G_U,U_A,U_C,U_G,U_U,label
P87,1,3,0,0,3,3,1,3,0,1,0,0,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,1,1,1,1,3,1,1,1,1,4,1,0,0,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0,2,0,1,1,1,2,1,0,1,1,2,1,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,2,2,2,1,1,1,1,1,2,0,0,0,2,0,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0,1,1,1,2,0,1,1,0,0,1,3,1,4,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,2,0,0,1,0,2,2,3,0,1,0,0,2,3,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,2,3,1,0,1,2,1,2,3,0,0,0,0,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0,1,1,0,0,0,0,3,1,1,0,3,0,1,4,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0,1,0,3,0,0,0,2,0,0,0,2,4,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,1,2,1,2,1,0,1,0,2,0,1,1,1,0,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,1,2,1,1,3,0,0,1,0,2,2,1,2,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,2,0,0,3,0,0,2,0,2,2,0,0,3,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,1,1,0,1,0,1,0,1,1,1,2,1,1,0,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,0,0,3,0,0,0,0,0,2,0,1,4,1,0,4,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,1,1,1,3,1,0,2,0,2,1,0,1,2,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0,0,2,2,1,1,0,1,0,0,2,4,3,0,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,1,0,1,2,0,1,0,0,1,0,2,2,3,1,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,3,1,1,1,0,2,2,0,1,2,1,0,0,0,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0,1,0,1,1,4,2,1,0,3,1,0,1,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,1,1,2,0,2,0,1,2,1,1,2,0,0,2,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,2,0,2,0,0,0,0,3,0,1,1,1,2,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0,2,1,0,2,3,1,2,1,2,1,0,0,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,5,1,2,2,0,0,0,1,2,0,1,1,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,2,1,4,2,0,0,1,1,3,0,0,1,2,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,1,1,2,3,3,0,0,0,1,0,1,1,2,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,1,2,1,1,1,0,1,2,3,0,1,0,2,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,1,1,0,1,0,0,2,1,0,3,2,2,1,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0,1,2,0,0,0,1,0,2,0,2,2,2,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0,1,0,1,0,1,1,2,0,0,0,3,3,1,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,1,2,1,2,2,1,0,1,0,1,0,1,1,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0,0,0,3,0,0,2,2,1,2,0,2,1,1,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,2,1,2,2,0,0,1,3,3,1,0,0,1,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,1,1,2,1,1,2,1,1,1,0,2,1,1,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,1,1,0,2,1,0,4,0,2,2,3,0,0,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,2,0,1,1,0,1,0,0,2,1,1,3,0,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,2,2,2,0,1,1,2,1,1,2,1,0,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0,1,0,1,0,0,1,2,1,1,3,1,1,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,4,1,1,2,1,1,2,0,2,1,0,0,0,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,3,1,0,4,2,1,0,0,1,0,0,1,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0,1,0,1,0,4,0,2,0,0,0,1,1,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,2,0,2,3,0,0,0,1,1,0,0,1,3,0,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,3,2,1,1,3,1,0,1,0,0,0,1,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,1,1,1,1,2,1,0,2,1,2,0,1,2,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,2,1,0,1,2,0,0,2,2,0,0,1,0,3,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,1,0,1,4,0,0,1,0,1,0,2,2,3,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0,0,0,1,0,2,2,1,1,2,2,1,0,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0,0,0,1,1,0,1,1,0,1,2,4,1,0,5,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,1,0,0,2,0,0,0,0,2,0,4,1,1,0,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,1,1,0,1,1,2,3,0,1,1,0,3,0,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,0,1,1,0,0,4,0,2,0,1,0,3,3,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,1,0,0,2,0,0,0,0,2,0,2,2,0,0,2,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,0,0,0,1,0,2,2,3,1,2,1,1,0,2,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,2,2,0,0,0,0,3,0,0,0,0,5,2,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,1,1,2,0,0,0,2,1,0,0,0,4,3,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P141,2,1,1,1,0,0,1,2,1,0,1,1,1,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P142,2,2,0,0,1,0,1,1,0,0,0,2,0,1,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P143,1,1,1,1,1,1,1,2,1,1,0,1,2,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P144,0,0,3,1,1,3,2,1,4,1,0,0,1,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P145,0,1,1,0,1,0,0,2,1,0,1,4,0,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P146,0,1,1,1,2,0,1,2,0,3,1,1,2,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P147,0,0,0,0,0,1,2,2,0,2,1,3,0,3,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P148,4,1,0,1,1,2,2,1,1,1,0,0,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P149,0,1,1,0,0,0,2,2,1,0,3,2,1,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P150,2,0,0,4,0,0,0,1,3,1,0,1,1,0,4,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P151,1,3,0,1,4,1,0,3,0,0,0,0,1,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P152,2,0,1,2,0,2,2,0,1,2,1,0,2,0,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P153,1,1,0,2,3,0,0,1,0,0,1,1,0,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P154,3,1,2,2,1,0,0,1,2,0,1,0,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P155,2,0,1,2,0,1,1,2,0,2,0,1,1,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P156,0,2,1,3,0,0,0,3,1,0,0,0,3,1,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P157,4,1,1,1,1,0,2,0,0,1,2,1,1,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P158,0,1,0,2,4,2,1,2,0,1,0,0,0,3,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P159,0,1,1,0,1,1,1,4,0,2,1,0,0,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P160,2,1,0,1,1,2,0,3,0,0,0,0,2,3,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P161,5,2,0,0,0,0,0,1,0,0,0,1,3,0,0,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P162,1,0,2,4,0,0,1,1,2,1,1,1,3,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P163,1,2,1,1,1,0,0,3,0,2,0,1,2,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P164,0,0,1,0,0,2,0,3,0,1,0,0,2,3,0,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P165,0,2,0,0,1,1,2,0,0,1,1,3,2,0,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P166,1,0,2,3,0,0,0,1,3,0,1,1,2,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P167,1,0,1,3,1,0,1,1,2,0,1,0,1,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P168,1,0,0,3,0,0,0,2,1,0,0,0,2,1,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P169,0,0,1,1,0,1,2,2,0,1,0,2,2,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P170,3,1,3,1,0,0,0,0,5,0,1,1,1,0,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P171,0,0,2,2,0,1,1,1,1,1,0,2,2,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P172,8,1,1,1,2,0,0,1,0,1,0,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P173,2,2,1,0,1,2,3,0,1,1,0,2,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P174,0,1,2,2,1,0,2,0,2,2,3,0,2,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P175,1,0,0,5,0,0,0,1,0,0,0,0,3,2,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P176,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,10,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P177,2,2,2,2,1,0,1,1,2,0,1,1,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P178,0,0,2,1,3,1,1,0,0,3,3,1,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P179,0,1,0,0,1,2,1,3,0,0,0,1,1,5,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P180,2,2,1,2,0,0,0,2,1,0,0,1,3,0,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P181,1,0,2,1,2,1,2,0,0,1,1,3,0,3,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P182,2,2,0,2,1,0,1,3,1,2,0,0,2,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P183,4,2,1,2,1,0,0,1,3,0,0,0,1,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P184,2,2,1,1,1,1,2,0,1,0,2,2,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P185,1,0,1,4,0,3,1,0,0,1,0,1,4,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P186,1,0,0,4,1,0,0,0,2,0,1,1,2,0,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P187,1,0,1,0,2,1,0,3,0,1,0,1,0,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P188,0,0,1,2,0,1,1,1,1,0,0,0,3,1,0,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P189,0,0,1,2,1,0,0,0,0,0,1,3,1,2,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P190,2,0,2,2,0,1,1,1,1,1,0,1,2,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P191,2,0,2,1,0,0,0,0,1,0,1,4,3,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P192,0,0,0,0,0,3,0,4,0,3,1,0,0,2,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P193,0,0,0,0,0,2,3,1,0,3,3,2,0,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P194,2,2,0,2,1,0,3,1,3,0,0,0,0,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P195,0,1,0,0,0,1,2,1,1,1,4,3,0,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P196,2,1,3,1,1,0,0,2,2,0,1,2,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P197,0,0,1,1,1,2,0,2,1,2,0,3,0,2,3,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P198,1,1,1,0,0,0,1,4,1,0,1,1,3,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P199,0,0,1,2,0,0,1,1,1,1,1,2,1,1,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P200,0,0,1,0,0,2,0,3,1,1,1,2,0,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P201,0,2,0,1,1,1,1,3,0,2,0,0,1,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P202,1,1,3,0,0,0,1,2,2,0,2,2,2,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P203,1,2,0,2,3,2,1,0,2,1,0,1,0,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P204,0,2,0,1,1,1,3,1,1,2,0,1,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P205,0,0,1,5,0,0,2,0,1,0,1,2,4,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P206,1,3,0,0,1,0,4,1,1,2,2,1,0,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P207,2,1,1,1,2,1,0,1,0,1,4,1,1,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P208,0,0,1,0,0,1,0,3,1,0,0,0,1,2,1,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P209,2,1,0,1,1,0,0,3,0,1,0,1,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
