nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,pseknc-16,label
P11,0.023,0.0,0.0,0.023,0.023,0.0,0.023,0.0,0.0,0.0,0.047,0.07,0.0,0.047,0.047,0.164,0.528,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0.019,0.019,0.0,0.039,0.039,0.078,0.019,0.039,0.0,0.039,0.019,0.0,0.0,0.058,0.019,0.0,0.609,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0.014,0.0,0.058,0.029,0.014,0.0,0.014,0.014,0.029,0.029,0.014,0.014,0.043,0.014,0.0,0.0,0.709,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.08,0.0,0.026,0.0,0.0,0.026,0.026,0.026,0.322,0.462,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0.018,0.037,0.0,0.018,0.037,0.037,0.0,0.075,0.0,0.018,0.0,0.0,0.018,0.037,0.018,0.056,0.621,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0.016,0.016,0.016,0.048,0.032,0.0,0.0,0.016,0.016,0.032,0.016,0.016,0.016,0.0,0.064,0.016,0.679,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.087,0.0,0.0,0.0,0.029,0.0,0.058,0.029,0.32,0.418,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0.041,0.02,0.02,0.02,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.062,0.041,0.02,0.041,0.104,0.583,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0.021,0.0,0.021,0.021,0.021,0.042,0.021,0.021,0.0,0.021,0.063,0.042,0.021,0.042,0.021,0.042,0.575,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0.045,0.022,0.0,0.0,0.0,0.091,0.022,0.068,0.0,0.045,0.0,0.0,0.022,0.045,0.022,0.068,0.544,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0.033,0.016,0.05,0.016,0.033,0.0,0.0,0.0,0.016,0.0,0.0,0.05,0.016,0.033,0.016,0.05,0.665,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0.0,0.0,0.0,0.0,0.0,0.087,0.021,0.065,0.0,0.043,0.043,0.0,0.0,0.043,0.043,0.087,0.564,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0.036,0.036,0.0,0.018,0.0,0.036,0.018,0.018,0.0,0.0,0.0,0.036,0.054,0.0,0.0,0.108,0.639,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0.047,0.0,0.059,0.011,0.011,0.0,0.0,0.0,0.047,0.011,0.0,0.011,0.011,0.0,0.011,0.011,0.76,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.02,0.0,0.041,0.062,0.062,0.0,0.0,0.104,0.062,0.583,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0.02,0.02,0.0,0.02,0.0,0.04,0.02,0.02,0.0,0.0,0.04,0.06,0.04,0.02,0.04,0.06,0.599,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0.0,0.012,0.051,0.0,0.0,0.0,0.0,0.012,0.051,0.0,0.051,0.038,0.012,0.0,0.025,0.0,0.74,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0.03,0.03,0.03,0.015,0.015,0.015,0.045,0.0,0.03,0.015,0.015,0.03,0.03,0.0,0.0,0.0,0.696,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0.0,0.02,0.0,0.02,0.02,0.041,0.02,0.123,0.0,0.02,0.0,0.0,0.02,0.102,0.0,0.02,0.589,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0.0,0.037,0.0,0.037,0.037,0.075,0.018,0.018,0.018,0.018,0.0,0.018,0.037,0.0,0.037,0.018,0.622,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0.022,0.0,0.0,0.022,0.0,0.0,0.022,0.022,0.0,0.0,0.089,0.066,0.022,0.044,0.022,0.111,0.554,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0.0,0.0,0.023,0.0,0.0,0.047,0.0,0.07,0.023,0.0,0.0,0.023,0.0,0.094,0.0,0.189,0.527,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.026,0.079,0.026,0.026,0.29,0.472,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0.04,0.02,0.0,0.061,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.061,0.59,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0.0,0.021,0.021,0.021,0.064,0.085,0.021,0.021,0.0,0.042,0.042,0.021,0.0,0.042,0.021,0.0,0.571,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0.0,0.0,0.0,0.047,0.023,0.071,0.047,0.071,0.0,0.047,0.0,0.0,0.023,0.095,0.0,0.047,0.522,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0.017,0.017,0.017,0.0,0.017,0.0,0.035,0.017,0.017,0.035,0.017,0.071,0.0,0.017,0.053,0.017,0.64,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0.0,0.021,0.0,0.043,0.021,0.043,0.021,0.021,0.0,0.021,0.0,0.021,0.043,0.043,0.021,0.109,0.563,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0.018,0.037,0.018,0.037,0.037,0.0,0.0,0.074,0.0,0.037,0.0,0.0,0.037,0.037,0.018,0.018,0.626,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0.017,0.0,0.017,0.017,0.017,0.017,0.034,0.017,0.017,0.034,0.069,0.017,0.0,0.017,0.034,0.017,0.652,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0.0,0.038,0.019,0.0,0.038,0.019,0.019,0.0,0.019,0.0,0.076,0.057,0.0,0.038,0.019,0.038,0.615,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0.018,0.073,0.0,0.0,0.018,0.0,0.018,0.073,0.0,0.0,0.0,0.018,0.055,0.036,0.0,0.055,0.631,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0.018,0.0,0.036,0.018,0.054,0.054,0.018,0.018,0.0,0.018,0.018,0.036,0.018,0.054,0.0,0.0,0.634,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.068,0.0,0.022,0.068,0.045,0.0,0.068,0.068,0.091,0.54,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0.063,0.021,0.0,0.063,0.0,0.063,0.0,0.042,0.0,0.021,0.0,0.0,0.084,0.021,0.021,0.021,0.577,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0.0,0.019,0.019,0.019,0.019,0.038,0.0,0.057,0.0,0.019,0.0,0.0,0.038,0.038,0.019,0.096,0.615,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0.0,0.037,0.0,0.0,0.0,0.075,0.018,0.075,0.0,0.037,0.0,0.0,0.037,0.037,0.018,0.037,0.622,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0.02,0.04,0.0,0.04,0.061,0.02,0.04,0.02,0.0,0.04,0.0,0.02,0.02,0.04,0.0,0.04,0.591,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0.0,0.0,0.022,0.066,0.0,0.044,0.0,0.022,0.0,0.022,0.0,0.022,0.088,0.022,0.022,0.11,0.557,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0.019,0.019,0.0,0.076,0.057,0.019,0.0,0.019,0.0,0.038,0.038,0.0,0.038,0.019,0.019,0.019,0.619,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0.035,0.035,0.017,0.017,0.035,0.0,0.035,0.035,0.017,0.053,0.0,0.0,0.017,0.017,0.017,0.017,0.641,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0.037,0.037,0.0,0.055,0.037,0.037,0.018,0.018,0.018,0.0,0.0,0.0,0.037,0.018,0.0,0.055,0.629,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0.0,0.0,0.0,0.021,0.021,0.065,0.021,0.021,0.0,0.021,0.043,0.065,0.0,0.021,0.087,0.043,0.562,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,0.0,0.035,0.017,0.017,0.017,0.017,0.017,0.053,0.0,0.053,0.017,0.0,0.035,0.0,0.017,0.053,0.641,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0.0,0.0,0.0,0.0,0.0,0.138,0.046,0.046,0.0,0.023,0.0,0.046,0.023,0.046,0.023,0.069,0.538,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,0.0,0.0,0.0,0.021,0.0,0.0,0.042,0.063,0.0,0.042,0.021,0.042,0.021,0.063,0.042,0.063,0.577,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0.031,0.015,0.031,0.0,0.015,0.015,0.015,0.031,0.0,0.031,0.015,0.015,0.031,0.0,0.015,0.047,0.681,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0.041,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.041,0.062,0.041,0.02,0.041,0.103,0.585,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0.064,0.043,0.0,0.021,0.021,0.0,0.021,0.0,0.0,0.0,0.086,0.064,0.021,0.0,0.064,0.021,0.567,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,0.0,0.03,0.045,0.015,0.06,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.0,0.015,0.03,0.015,0.699,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0.017,0.035,0.0,0.035,0.017,0.0,0.0,0.053,0.0,0.017,0.0,0.035,0.053,0.0,0.053,0.035,0.644,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0.0,0.017,0.035,0.017,0.052,0.035,0.0,0.035,0.0,0.035,0.017,0.017,0.017,0.017,0.035,0.017,0.646,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0.019,0.0,0.0,0.039,0.019,0.019,0.0,0.058,0.0,0.039,0.039,0.0,0.039,0.039,0.019,0.058,0.607,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0.041,0.041,0.0,0.0,0.02,0.082,0.062,0.02,0.0,0.02,0.0,0.041,0.02,0.041,0.0,0.02,0.585,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0.0,0.02,0.02,0.02,0.02,0.04,0.0,0.06,0.0,0.04,0.02,0.0,0.02,0.04,0.02,0.08,0.595,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0.0,0.0,0.037,0.0,0.056,0.0,0.0,0.075,0.0,0.056,0.018,0.018,0.0,0.056,0.037,0.018,0.622,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0.0,0.028,0.057,0.0,0.014,0.014,0.0,0.028,0.014,0.0,0.028,0.028,0.057,0.014,0.0,0.0,0.712,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.041,0.0,0.0,0.0,0.062,0.02,0.062,0.041,0.103,0.585,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0.0,0.028,0.014,0.028,0.0,0.028,0.042,0.0,0.042,0.0,0.014,0.028,0.028,0.014,0.0,0.014,0.715,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0.017,0.017,0.017,0.017,0.035,0.0,0.0,0.0,0.017,0.0,0.017,0.07,0.0,0.017,0.088,0.035,0.647,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0.034,0.017,0.017,0.034,0.034,0.0,0.034,0.017,0.017,0.017,0.0,0.017,0.034,0.034,0.0,0.034,0.659,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.041,0.082,0.02,0.0,0.102,0.102,0.588,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0.0,0.018,0.018,0.037,0.018,0.018,0.0,0.037,0.0,0.018,0.056,0.037,0.037,0.018,0.037,0.018,0.62,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0.018,0.018,0.018,0.037,0.018,0.0,0.018,0.018,0.0,0.037,0.0,0.018,0.055,0.0,0.018,0.092,0.629,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0.0,0.037,0.018,0.0,0.037,0.037,0.056,0.0,0.0,0.056,0.037,0.037,0.0,0.018,0.018,0.018,0.621,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0.03,0.015,0.03,0.015,0.015,0.0,0.03,0.015,0.03,0.03,0.015,0.015,0.03,0.015,0.0,0.015,0.691,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0.017,0.035,0.017,0.0,0.035,0.035,0.035,0.0,0.0,0.017,0.0,0.071,0.0,0.017,0.053,0.017,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0.034,0.0,0.017,0.034,0.034,0.017,0.0,0.0,0.0,0.034,0.017,0.034,0.034,0.0,0.051,0.034,0.653,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0.0,0.02,0.02,0.04,0.04,0.02,0.0,0.061,0.0,0.02,0.0,0.0,0.061,0.061,0.0,0.061,0.593,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0.0,0.019,0.019,0.019,0.019,0.0,0.0,0.039,0.0,0.019,0.019,0.039,0.039,0.039,0.019,0.097,0.609,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0.021,0.0,0.021,0.021,0.0,0.0,0.0,0.021,0.0,0.021,0.0,0.021,0.043,0.021,0.021,0.219,0.56,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0.017,0.034,0.034,0.017,0.0,0.0,0.034,0.034,0.0,0.017,0.017,0.034,0.085,0.017,0.0,0.0,0.658,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0.0,0.042,0.0,0.063,0.063,0.084,0.042,0.021,0.0,0.021,0.0,0.0,0.042,0.042,0.0,0.0,0.579,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0.0,0.037,0.018,0.018,0.037,0.018,0.0,0.037,0.0,0.0,0.037,0.055,0.037,0.018,0.037,0.018,0.629,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0.0,0.0,0.02,0.0,0.0,0.0,0.041,0.082,0.0,0.02,0.0,0.062,0.02,0.082,0.041,0.041,0.585,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0.018,0.073,0.0,0.0,0.054,0.054,0.036,0.018,0.0,0.018,0.018,0.018,0.018,0.036,0.0,0.0,0.634,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0.059,0.014,0.044,0.014,0.014,0.0,0.0,0.0,0.044,0.0,0.044,0.014,0.0,0.0,0.029,0.014,0.702,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0.0,0.035,0.0,0.017,0.0,0.017,0.035,0.017,0.017,0.017,0.0,0.053,0.035,0.017,0.053,0.035,0.646,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0.0,0.02,0.02,0.0,0.02,0.103,0.02,0.083,0.0,0.041,0.02,0.0,0.02,0.062,0.0,0.0,0.584,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0.023,0.023,0.0,0.047,0.047,0.047,0.023,0.023,0.0,0.023,0.0,0.0,0.023,0.047,0.0,0.142,0.524,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0.016,0.048,0.032,0.0,0.032,0.016,0.016,0.048,0.0,0.032,0.0,0.016,0.032,0.016,0.0,0.016,0.679,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0.0,0.024,0.0,0.0,0.024,0.024,0.048,0.048,0.0,0.024,0.0,0.024,0.0,0.097,0.0,0.171,0.51,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,0.0,0.038,0.0,0.0,0.0,0.116,0.019,0.077,0.0,0.0,0.0,0.019,0.038,0.058,0.0,0.019,0.612,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0.075,0.018,0.0,0.018,0.0,0.018,0.018,0.037,0.0,0.0,0.018,0.037,0.056,0.037,0.0,0.037,0.622,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0.0,0.043,0.0,0.021,0.043,0.087,0.0,0.087,0.0,0.0,0.0,0.0,0.021,0.087,0.0,0.043,0.563,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,0.057,0.0,0.019,0.019,0.019,0.0,0.038,0.0,0.0,0.038,0.057,0.038,0.0,0.019,0.038,0.038,0.615,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0.02,0.0,0.02,0.04,0.02,0.0,0.02,0.0,0.0,0.0,0.06,0.06,0.04,0.02,0.04,0.06,0.597,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,0.0,0.041,0.0,0.0,0.041,0.062,0.041,0.041,0.0,0.0,0.0,0.041,0.02,0.082,0.0,0.041,0.585,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0.0,0.016,0.033,0.0,0.0,0.033,0.033,0.0,0.0,0.0,0.016,0.067,0.05,0.0,0.016,0.067,0.66,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,0.034,0.034,0.017,0.017,0.017,0.034,0.034,0.0,0.0,0.0,0.0,0.051,0.068,0.017,0.0,0.017,0.658,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,0.043,0.043,0.0,0.0,0.043,0.065,0.065,0.021,0.0,0.043,0.0,0.021,0.0,0.021,0.021,0.043,0.566,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0.02,0.02,0.02,0.0,0.0,0.06,0.02,0.02,0.0,0.0,0.06,0.08,0.02,0.02,0.04,0.02,0.598,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,0.0,0.0,0.0,0.02,0.0,0.04,0.02,0.04,0.02,0.02,0.04,0.0,0.0,0.04,0.02,0.141,0.596,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0.044,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.066,0.0,0.066,0.133,0.555,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0.0,0.016,0.033,0.0,0.0,0.0,0.05,0.0,0.033,0.016,0.117,0.016,0.016,0.016,0.0,0.016,0.664,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,0.02,0.061,0.02,0.0,0.04,0.02,0.04,0.02,0.0,0.02,0.04,0.02,0.02,0.02,0.0,0.061,0.592,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0.018,0.0,0.037,0.018,0.018,0.0,0.0,0.0,0.0,0.018,0.018,0.074,0.037,0.018,0.055,0.055,0.629,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0.0,0.02,0.0,0.0,0.0,0.1,0.02,0.06,0.0,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.596,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,0.0,0.04,0.0,0.02,0.04,0.02,0.02,0.02,0.0,0.04,0.02,0.061,0.02,0.0,0.061,0.04,0.59,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0.0,0.017,0.017,0.017,0.035,0.035,0.0,0.0,0.0,0.017,0.017,0.053,0.017,0.017,0.053,0.053,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,0.033,0.05,0.0,0.016,0.033,0.016,0.016,0.016,0.016,0.0,0.016,0.016,0.016,0.0,0.016,0.067,0.662,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,0.0,0.0,0.0,0.0,0.0,0.101,0.025,0.101,0.0,0.0,0.0,0.05,0.0,0.127,0.025,0.076,0.491,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,0.017,0.0,0.035,0.0,0.017,0.035,0.017,0.017,0.0,0.053,0.035,0.035,0.017,0.017,0.017,0.035,0.64,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0.075,0.0,0.0,0.075,0.037,0.0,0.0,0.0,0.0,0.0,0.018,0.037,0.056,0.037,0.018,0.018,0.623,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0.064,0.016,0.0,0.032,0.0,0.032,0.016,0.0,0.048,0.0,0.064,0.0,0.0,0.0,0.032,0.016,0.676,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,0.074,0.018,0.018,0.0,0.018,0.0,0.055,0.0,0.018,0.018,0.055,0.037,0.0,0.018,0.018,0.018,0.629,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0.0,0.0,0.035,0.0,0.017,0.0,0.0,0.035,0.0,0.035,0.052,0.035,0.017,0.017,0.052,0.052,0.647,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,0.0,0.032,0.032,0.0,0.016,0.0,0.032,0.016,0.032,0.016,0.064,0.032,0.0,0.016,0.016,0.016,0.675,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0.0,0.0,0.036,0.0,0.018,0.0,0.036,0.018,0.0,0.036,0.055,0.073,0.018,0.036,0.036,0.0,0.631,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,0.0,0.041,0.0,0.041,0.041,0.061,0.02,0.041,0.02,0.0,0.0,0.0,0.02,0.041,0.0,0.082,0.588,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,0.034,0.017,0.017,0.0,0.0,0.017,0.017,0.052,0.0,0.017,0.052,0.017,0.034,0.034,0.017,0.017,0.651,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,0.019,0.019,0.019,0.019,0.059,0.0,0.0,0.039,0.0,0.019,0.039,0.019,0.019,0.039,0.019,0.059,0.604,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0.0,0.056,0.0,0.018,0.037,0.018,0.0,0.075,0.0,0.0,0.037,0.0,0.037,0.037,0.018,0.037,0.624,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0.061,0.0,0.041,0.041,0.041,0.041,0.02,0.0,0.0,0.0,0.0,0.041,0.02,0.061,0.0,0.041,0.588,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,0.0,0.034,0.017,0.0,0.0,0.017,0.034,0.017,0.034,0.017,0.085,0.017,0.017,0.017,0.0,0.034,0.658,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0.0,0.036,0.018,0.036,0.036,0.0,0.0,0.036,0.018,0.0,0.018,0.036,0.036,0.036,0.018,0.036,0.637,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,0.0,0.018,0.036,0.018,0.018,0.054,0.036,0.0,0.0,0.018,0.0,0.072,0.036,0.018,0.018,0.018,0.636,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0.019,0.019,0.019,0.039,0.019,0.019,0.019,0.039,0.0,0.019,0.0,0.019,0.058,0.039,0.0,0.058,0.607,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,0.0,0.043,0.0,0.0,0.043,0.021,0.0,0.065,0.0,0.0,0.0,0.021,0.0,0.065,0.021,0.152,0.563,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0.071,0.0,0.053,0.0,0.035,0.0,0.0,0.017,0.0,0.0,0.035,0.053,0.035,0.035,0.0,0.017,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,0.0,0.017,0.035,0.017,0.053,0.017,0.035,0.0,0.0,0.035,0.017,0.035,0.035,0.035,0.0,0.017,0.645,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0.073,0.0,0.029,0.043,0.014,0.0,0.0,0.0,0.029,0.014,0.0,0.014,0.029,0.0,0.029,0.014,0.707,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0.018,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.056,0.075,0.018,0.0,0.075,0.094,0.621,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,0.035,0.035,0.035,0.0,0.053,0.071,0.0,0.035,0.0,0.017,0.0,0.017,0.017,0.017,0.017,0.0,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
