nameseq,A_A,A_C,A_G,A_U,C_A,C_C,C_G,C_U,G_A,G_C,G_G,G_U,U_A,U_C,U_G,U_U,label
P27,6,0,2,4,3,0,0,1,3,0,0,0,1,4,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,6,2,2,0,2,0,2,2,1,1,0,3,2,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,3,1,3,2,2,1,1,2,1,3,1,1,3,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,2,2,2,3,0,1,2,1,5,0,2,1,2,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0,0,1,2,1,3,4,1,2,2,2,3,0,4,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,2,1,2,5,0,0,0,3,2,1,0,1,7,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,2,1,2,1,0,0,3,1,2,4,0,4,2,0,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0,3,0,1,2,4,1,4,1,1,3,1,1,3,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0,1,2,2,1,0,3,3,1,3,2,2,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,3,2,1,3,2,0,1,1,1,0,2,2,3,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0,0,1,4,2,1,0,1,1,2,1,2,2,2,4,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,1,1,1,4,1,1,2,2,1,0,0,2,3,5,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,1,1,1,1,2,3,1,3,0,1,1,2,2,4,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,2,3,1,2,2,1,2,1,3,1,1,2,2,0,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,6,1,2,4,1,0,0,2,2,1,0,0,4,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0,1,4,3,4,1,1,0,1,1,2,2,3,4,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,2,1,1,3,3,1,1,2,1,0,1,2,2,4,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,2,2,1,5,2,0,1,1,3,0,0,0,1,2,2,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,1,3,0,0,2,2,4,0,1,0,5,5,1,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0,3,1,1,3,3,2,3,0,3,1,2,0,2,4,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,1,2,0,3,3,2,2,2,0,0,0,3,2,5,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,4,2,3,1,2,2,2,1,3,3,1,1,0,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,2,2,1,3,2,3,1,1,2,1,3,1,2,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,6,1,2,4,3,1,2,0,1,2,0,1,2,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,3,1,0,2,3,2,3,2,0,3,0,1,0,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0,3,0,1,0,2,5,3,2,1,2,3,1,3,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0,2,2,3,0,1,2,2,2,0,1,4,4,2,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,2,0,1,2,2,1,2,3,1,0,0,2,0,5,0,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,1,0,2,1,0,0,2,1,1,1,4,4,1,2,3,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,2,2,1,4,2,0,1,0,2,0,0,3,3,1,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,1,1,3,1,2,0,0,0,1,0,0,4,2,1,2,10,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,2,1,2,3,1,0,2,1,2,1,0,3,2,2,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0,1,1,1,0,0,1,4,1,2,1,2,2,3,3,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,1,2,2,2,4,2,0,1,2,1,3,1,1,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,1,3,1,1,3,2,2,1,2,0,2,4,0,2,4,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,3,0,4,0,2,2,1,3,1,4,1,1,2,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,4,3,2,3,2,0,0,0,1,1,2,2,4,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0,1,2,2,1,1,0,1,2,0,2,4,1,1,4,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0,2,2,3,2,1,1,3,2,3,1,0,4,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,2,2,2,1,2,3,1,2,1,1,2,3,1,1,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,2,0,1,1,1,2,2,2,1,4,4,2,1,1,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,1,3,3,2,3,0,1,2,1,0,1,2,3,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,3,1,2,2,1,0,1,0,1,1,1,3,3,1,2,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,3,2,1,2,4,2,1,2,0,2,0,1,1,5,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,2,0,1,4,2,2,0,2,2,1,0,3,1,3,4,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,2,0,2,4,0,0,1,0,4,1,1,2,3,0,4,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0,0,0,3,0,1,2,1,2,1,1,4,2,1,5,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0,3,0,4,2,2,2,1,2,0,3,2,2,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,3,2,3,4,0,0,1,1,6,1,0,0,2,0,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,3,1,3,4,4,2,0,0,3,1,1,0,0,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,2,3,0,2,1,1,3,0,4,0,1,3,0,1,5,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,1,4,2,0,1,4,2,3,1,1,0,2,4,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,1,1,1,5,1,0,2,0,2,0,0,4,4,2,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,5,1,2,3,1,0,0,2,1,2,1,2,5,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,7,0,1,2,0,0,3,0,3,0,4,2,1,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,4,0,3,2,1,0,0,0,4,0,3,4,0,1,5,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,1,2,1,2,1,0,1,2,2,1,1,3,2,1,2,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,1,3,0,0,3,0,4,0,1,1,2,5,0,2,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,2,1,1,1,1,3,2,1,3,1,0,3,0,0,5,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,5,5,1,3,4,0,0,1,3,0,0,0,1,0,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,2,1,2,3,0,0,0,1,2,0,3,3,4,0,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,2,1,3,1,0,0,1,2,3,3,4,3,1,0,4,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,8,0,3,3,2,0,0,0,0,2,0,3,3,0,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,4,0,1,2,3,2,2,2,0,2,0,1,1,5,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,5,3,0,3,1,3,2,2,2,0,0,0,3,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,2,1,2,3,7,4,1,0,1,2,0,1,0,4,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,4,2,2,3,0,0,1,1,2,0,3,2,5,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,2,3,1,0,0,0,2,4,1,3,2,1,2,2,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0,2,1,1,0,1,2,4,1,2,0,2,2,3,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,7,3,4,0,2,2,0,1,2,0,1,2,2,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,2,1,1,1,1,3,2,1,0,3,2,4,2,2,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,5,2,1,1,1,1,2,2,1,1,0,2,2,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0,2,2,2,1,0,1,2,4,0,6,2,1,2,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,2,1,1,3,2,1,1,2,0,1,0,2,2,3,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,3,3,1,3,2,0,1,2,1,2,1,1,4,0,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,2,2,1,5,4,3,0,1,0,1,0,1,2,3,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,1,2,2,1,0,3,2,2,3,0,0,4,2,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,6,1,6,0,0,0,1,0,5,0,3,3,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,1,1,4,2,0,1,0,3,1,1,3,2,6,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,3,2,2,4,1,0,1,2,2,0,1,1,4,2,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0,1,4,2,2,0,0,2,2,3,3,1,2,1,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0,1,3,3,0,0,2,0,4,1,3,2,1,0,3,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,1,2,2,3,0,2,3,2,3,2,0,1,3,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,4,2,0,8,3,0,0,0,2,0,0,0,5,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,2,2,0,5,2,1,1,0,1,0,1,2,3,2,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,3,0,1,3,0,0,0,2,2,1,1,1,4,1,2,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,4,4,1,4,3,1,1,0,3,0,0,1,2,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,2,6,1,3,3,1,1,2,1,1,0,0,4,0,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,3,1,2,2,1,1,0,2,1,0,1,3,2,2,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,1,2,1,1,2,0,1,1,1,0,2,3,1,3,2,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0,1,2,1,0,0,1,3,1,1,2,5,2,2,5,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,3,1,2,3,3,4,0,0,0,2,1,2,3,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,4,2,3,3,2,0,0,0,3,0,3,2,3,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,1,1,1,1,1,2,0,3,0,3,3,3,1,1,4,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,3,3,1,3,3,0,0,5,0,1,0,0,3,3,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,1,3,1,1,1,3,2,3,2,0,0,2,3,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,1,2,1,1,0,0,2,2,1,1,3,4,3,1,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0,1,2,1,2,3,0,2,1,1,3,3,1,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,1,2,2,2,2,2,2,1,3,2,0,0,1,1,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,3,1,2,1,1,3,2,2,3,2,2,0,1,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,4,3,1,1,2,1,1,3,2,0,1,2,1,3,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0,2,1,4,2,2,2,0,3,1,0,1,3,1,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,3,0,0,6,2,3,3,0,2,2,0,0,3,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,1,5,1,1,6,3,3,1,0,3,0,0,1,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,2,1,1,1,3,2,0,4,1,2,1,1,1,3,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,2,3,1,2,4,1,0,4,1,1,0,1,2,3,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,1,2,1,2,1,1,2,2,3,0,1,1,1,3,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,7,2,3,1,1,0,1,1,5,1,1,0,1,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,1,1,2,2,1,1,1,3,0,3,1,1,3,1,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,1,1,5,1,2,1,0,1,3,3,3,2,2,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,2,1,3,0,3,1,2,1,0,5,0,3,0,1,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,0,2,1,3,5,0,1,2,0,3,1,2,1,1,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,5,1,2,3,3,3,1,1,2,2,0,0,2,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,2,1,0,5,3,2,1,2,0,1,0,1,2,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P141,4,0,4,3,2,0,1,0,3,3,2,1,2,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P142,4,1,2,4,2,0,0,1,1,2,1,0,3,0,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P143,1,1,1,3,0,1,1,2,0,2,0,3,4,2,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P144,1,0,2,2,1,0,1,2,1,1,1,2,2,2,2,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P145,0,1,2,3,3,0,2,1,0,0,1,4,3,5,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P146,5,2,4,2,1,2,2,0,3,1,0,1,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P147,0,1,1,2,2,2,0,3,0,0,0,4,2,5,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P148,2,3,2,1,0,1,3,3,1,1,1,3,4,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P149,2,0,1,1,2,1,3,0,1,2,1,3,0,4,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P150,6,4,2,0,2,1,1,2,1,1,1,2,3,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P151,1,0,0,5,1,1,0,1,3,1,1,2,2,1,6,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P152,1,1,3,1,1,0,0,1,4,0,1,5,2,1,5,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P153,6,2,3,1,1,2,1,1,4,1,1,0,2,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P154,6,1,2,2,0,0,1,0,2,0,0,3,4,0,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P155,2,1,2,1,0,0,0,1,4,0,5,4,1,0,6,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P156,3,0,1,2,2,3,0,2,0,0,0,1,2,4,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P157,0,0,1,2,1,0,0,3,0,1,2,4,1,3,4,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P158,0,0,4,1,1,3,2,1,2,3,4,2,2,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P159,0,1,1,2,0,0,1,4,1,1,0,5,2,2,5,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P160,1,4,2,0,2,1,0,3,1,1,1,2,3,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P161,3,1,4,2,3,0,2,0,3,2,2,1,1,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P162,2,0,2,4,0,0,2,1,1,1,1,3,4,2,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P163,1,2,1,2,3,4,1,2,0,1,0,2,2,3,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P164,4,3,4,0,2,1,1,1,2,3,0,2,2,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P165,3,1,3,0,0,1,1,2,2,3,3,2,1,1,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P166,2,2,1,3,4,0,0,2,0,2,1,2,1,2,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P167,4,3,0,4,2,0,1,1,1,0,0,3,5,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P168,11,0,0,8,0,0,0,0,0,0,0,0,8,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P169,2,1,1,3,1,0,0,0,0,0,5,4,4,0,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P170,4,0,2,2,1,1,0,1,2,0,3,3,1,3,4,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P171,2,0,4,3,1,0,1,2,2,1,0,2,5,3,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P172,2,1,1,5,2,0,0,0,2,0,2,4,3,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P173,1,1,1,4,3,2,0,1,1,0,2,3,1,3,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P174,5,1,2,3,3,0,0,1,0,0,0,2,4,2,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P175,4,1,1,3,2,1,1,1,1,0,0,4,2,3,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P176,1,2,0,3,0,1,1,0,3,0,2,5,2,0,6,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P177,4,1,4,4,2,0,0,1,3,0,0,1,3,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P178,4,1,2,4,1,0,0,0,2,0,1,3,5,0,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P179,1,1,4,1,1,0,0,1,2,0,1,2,3,1,1,9,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P180,7,1,4,0,1,0,2,1,1,1,1,3,2,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P181,4,1,5,3,0,0,1,1,4,1,1,2,4,0,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P182,1,4,1,1,3,1,2,4,2,2,0,0,1,3,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P183,4,1,3,2,3,0,0,2,2,3,1,1,1,0,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P184,6,1,0,1,2,5,2,2,1,2,1,1,1,3,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P185,5,1,1,2,0,0,4,0,5,1,3,1,0,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P186,2,2,2,1,1,0,3,1,0,1,3,3,4,0,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P187,1,4,0,1,2,3,4,1,1,0,0,3,1,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P188,3,2,2,3,4,1,0,1,1,0,1,1,3,3,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P189,2,0,3,1,2,1,1,0,0,2,3,3,3,2,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P190,2,1,0,3,1,2,0,2,2,2,1,2,2,1,5,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P191,1,2,2,1,0,2,2,2,2,2,0,3,3,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P192,4,2,3,5,3,1,0,1,1,0,0,1,4,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P193,3,2,4,3,2,0,1,0,4,0,0,1,4,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P194,4,0,3,2,1,0,1,0,2,1,1,4,3,1,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P195,3,2,4,1,2,0,0,1,2,1,1,2,4,0,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P196,0,2,5,2,2,1,1,0,2,2,0,4,6,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P197,1,1,3,2,0,2,2,2,3,2,0,2,3,0,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P198,0,2,1,1,0,2,3,3,3,1,1,2,1,3,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P199,5,3,2,1,4,1,0,0,2,0,0,3,2,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P200,4,1,1,4,1,0,1,0,1,1,0,3,3,0,3,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P201,6,1,3,0,0,1,0,3,2,0,2,2,2,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P202,4,1,2,1,3,1,0,1,0,1,2,4,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P203,2,1,2,3,0,0,0,2,3,0,1,2,3,2,4,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P204,4,0,3,2,2,0,0,2,3,2,0,2,1,1,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P205,2,3,1,3,2,0,2,2,3,0,2,2,1,2,3,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P206,4,1,3,3,1,0,0,2,2,1,0,2,3,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P207,4,1,1,5,2,1,2,0,4,1,0,1,2,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P208,0,5,1,2,3,2,0,3,1,0,0,2,3,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P209,0,1,2,0,1,1,3,3,0,4,2,3,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
