nameseq,k1,k2,k3,k4,k5,label
P44,3.0,10.0,16.0,21.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,3.0,12.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,3.0,11.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,3.0,12.0,22.0,23.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,3.0,14.0,26.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,3.0,12.0,20.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,3.0,12.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,3.0,13.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,3.0,10.0,17.0,20.0,22.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,3.0,11.0,17.0,20.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,3.0,10.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,3.0,11.0,19.0,23.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,3.0,14.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,3.0,14.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,3.0,14.0,25.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,3.0,12.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,3.0,10.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,3.0,14.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,3.0,13.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,3.0,14.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,3.0,10.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,3.0,13.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,3.0,13.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,3.0,11.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,3.0,10.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,3.0,12.0,20.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,3.0,13.0,21.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,3.0,13.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,3.0,13.0,21.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,3.0,12.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,3.0,11.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,3.0,12.0,17.0,22.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,3.0,10.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,3.0,12.0,20.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,3.0,14.0,23.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,3.0,14.0,21.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,3.0,10.0,17.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,3.0,10.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,3.0,11.0,19.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,3.0,11.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,3.0,11.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,3.0,11.0,17.0,22.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,3.0,11.0,18.0,22.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,3.0,13.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,3.0,15.0,22.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,3.0,12.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,3.0,13.0,27.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,3.0,11.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,3.0,12.0,23.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,3.0,11.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,3.0,12.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,3.0,9.0,16.0,21.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,3.0,14.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,3.0,12.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,3.0,15.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,3.0,11.0,19.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,3.0,15.0,25.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,3.0,9.0,15.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,3.0,10.0,18.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,3.0,11.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,3.0,13.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,3.0,12.0,19.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,3.0,12.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,3.0,12.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,3.0,10.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,3.0,15.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,3.0,10.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,3.0,10.0,20.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,3.0,12.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,3.0,12.0,19.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,3.0,14.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,3.0,13.0,25.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,3.0,12.0,20.0,23.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,3.0,14.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,3.0,11.0,18.0,22.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,3.0,10.0,19.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,3.0,13.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,3.0,12.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,3.0,10.0,17.0,22.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,3.0,13.0,23.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,3.0,12.0,21.0,22.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,3.0,13.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,3.0,10.0,19.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P141,3.0,12.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P142,3.0,11.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P143,3.0,15.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P144,3.0,10.0,20.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P145,3.0,11.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P146,3.0,12.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P147,3.0,13.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P148,3.0,13.0,23.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P149,3.0,12.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P150,3.0,12.0,23.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P151,3.0,12.0,19.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P152,3.0,11.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P153,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P154,3.0,10.0,18.0,23.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P155,3.0,10.0,18.0,22.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P156,3.0,10.0,18.0,22.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P157,3.0,11.0,17.0,22.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P158,3.0,13.0,23.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P159,3.0,12.0,20.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P160,3.0,12.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P161,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P162,3.0,12.0,25.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P163,3.0,12.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P164,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P165,3.0,13.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P166,3.0,11.0,19.0,22.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P167,3.0,11.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P168,2.0,4.0,7.0,11.0,15.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P169,3.0,11.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P170,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P171,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P172,3.0,11.0,19.0,22.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P173,3.0,13.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P174,3.0,11.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P175,3.0,12.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P176,3.0,12.0,19.0,23.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P177,3.0,11.0,20.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P178,3.0,11.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P179,3.0,11.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P180,3.0,12.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P181,3.0,13.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P182,3.0,14.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P183,3.0,12.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P184,3.0,9.0,17.0,21.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P185,3.0,11.0,19.0,22.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P186,3.0,13.0,19.0,23.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P187,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P188,3.0,12.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P189,3.0,13.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P190,3.0,13.0,21.0,23.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P191,3.0,13.0,26.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P192,3.0,12.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P193,3.0,11.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P194,3.0,11.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P195,3.0,12.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P196,3.0,13.0,23.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P197,3.0,14.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P198,3.0,13.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P199,3.0,11.0,20.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P200,3.0,11.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P201,3.0,11.0,18.0,21.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P202,3.0,13.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P203,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P204,3.0,10.0,19.0,22.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P205,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P206,3.0,10.0,19.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P207,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P208,3.0,12.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P209,3.0,12.0,22.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P210,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P211,3.0,12.0,18.0,21.0,22.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P212,3.0,11.0,19.0,23.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P213,3.0,11.0,21.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P214,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P215,3.0,11.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P216,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P217,3.0,11.0,19.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P218,3.0,13.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P219,3.0,11.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P220,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P221,3.0,13.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P222,3.0,11.0,20.0,24.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P223,3.0,11.0,16.0,22.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P224,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P225,3.0,12.0,22.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P226,3.0,12.0,19.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P227,3.0,11.0,18.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P228,3.0,11.0,21.0,24.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P229,3.0,12.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P230,3.0,12.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P231,3.0,14.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P232,3.0,14.0,23.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P233,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P234,3.0,12.0,21.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P235,3.0,13.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P236,3.0,12.0,21.0,23.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P237,3.0,11.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P238,3.0,13.0,23.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P239,3.0,15.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P240,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P241,3.0,12.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P242,3.0,14.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P243,3.0,11.0,19.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P244,3.0,14.0,24.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P245,3.0,13.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P246,3.0,11.0,18.0,22.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P247,3.0,11.0,18.0,22.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P248,3.0,11.0,22.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P249,3.0,12.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P250,3.0,13.0,26.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P251,3.0,11.0,21.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P252,3.0,13.0,22.0,23.0,23.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P253,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P254,3.0,12.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P255,3.0,12.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P256,3.0,12.0,23.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P257,3.0,13.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P258,3.0,14.0,22.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
