nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,label
P23,0.051,0.1,0.0,0.05,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0.083,0.0,0.25,0.05,0.05,0.0,0.0,0.0,0.2,0.05,0.0,0.05,0.05,0.0,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.1,0.15,0.15,0.0,0.0,0.25,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0.029,0.05,0.0,0.05,0.0,0.1,0.05,0.05,0.0,0.0,0.1,0.15,0.1,0.05,0.1,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.2,0.15,0.05,0.0,0.1,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0.048,0.1,0.1,0.05,0.05,0.05,0.15,0.0,0.1,0.05,0.05,0.1,0.1,0.0,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0.0,0.05,0.0,0.05,0.05,0.1,0.05,0.3,0.0,0.05,0.0,0.0,0.05,0.25,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0.0,0.1,0.0,0.1,0.1,0.2,0.05,0.05,0.05,0.05,0.0,0.05,0.1,0.0,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0.023,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.2,0.15,0.05,0.1,0.05,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.15,0.05,0.0,0.0,0.05,0.0,0.2,0.0,0.4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.15,0.05,0.05,0.55,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0.057,0.05,0.0,0.15,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0.0,0.05,0.05,0.05,0.15,0.2,0.05,0.05,0.0,0.1,0.1,0.05,0.0,0.1,0.05,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,0.0,0.1,0.0,0.0,0.05,0.2,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0.024,0.05,0.05,0.0,0.05,0.0,0.1,0.05,0.05,0.1,0.05,0.2,0.0,0.05,0.15,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0.0,0.05,0.0,0.1,0.05,0.1,0.05,0.05,0.0,0.05,0.0,0.05,0.1,0.1,0.05,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0.021,0.1,0.05,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0.025,0.0,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.1,0.2,0.05,0.0,0.05,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0.0,0.1,0.05,0.0,0.1,0.05,0.05,0.0,0.05,0.0,0.2,0.15,0.0,0.1,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0.023,0.2,0.0,0.0,0.05,0.0,0.05,0.2,0.0,0.0,0.0,0.05,0.15,0.1,0.0,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0.029,0.0,0.1,0.05,0.15,0.15,0.05,0.05,0.0,0.05,0.05,0.1,0.05,0.15,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.05,0.15,0.1,0.0,0.15,0.15,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0.091,0.05,0.0,0.15,0.0,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.2,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0.0,0.05,0.05,0.05,0.05,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.1,0.1,0.05,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0.0,0.1,0.0,0.0,0.0,0.2,0.05,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0.032,0.1,0.0,0.1,0.15,0.05,0.1,0.05,0.0,0.1,0.0,0.05,0.05,0.1,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.05,0.2,0.05,0.05,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0.026,0.05,0.0,0.2,0.15,0.05,0.0,0.05,0.0,0.1,0.1,0.0,0.1,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0.052,0.1,0.05,0.05,0.1,0.0,0.1,0.1,0.05,0.15,0.0,0.0,0.05,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0.044,0.1,0.0,0.15,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.1,0.05,0.0,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0.0,0.0,0.0,0.05,0.05,0.15,0.05,0.05,0.0,0.05,0.1,0.15,0.0,0.05,0.2,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,0.0,0.1,0.05,0.05,0.05,0.05,0.05,0.15,0.0,0.15,0.05,0.0,0.1,0.0,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.05,0.0,0.1,0.05,0.1,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.15,0.0,0.1,0.05,0.1,0.05,0.15,0.1,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0.056,0.05,0.1,0.0,0.05,0.05,0.05,0.1,0.0,0.1,0.05,0.05,0.1,0.0,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0.055,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.15,0.1,0.05,0.1,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0.077,0.1,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.15,0.05,0.0,0.15,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,0.0,0.1,0.15,0.05,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.05,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0.031,0.1,0.0,0.1,0.05,0.0,0.0,0.15,0.0,0.05,0.0,0.1,0.15,0.0,0.15,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0.0,0.05,0.1,0.05,0.15,0.1,0.0,0.1,0.0,0.1,0.05,0.05,0.05,0.05,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0.028,0.0,0.0,0.1,0.05,0.05,0.0,0.15,0.0,0.1,0.1,0.0,0.1,0.1,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0.043,0.1,0.0,0.0,0.05,0.2,0.15,0.05,0.0,0.05,0.0,0.1,0.05,0.1,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0.0,0.05,0.05,0.05,0.05,0.1,0.0,0.15,0.0,0.1,0.05,0.0,0.05,0.1,0.05,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.2,0.0,0.15,0.05,0.05,0.0,0.15,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0.0,0.1,0.2,0.0,0.05,0.05,0.0,0.1,0.05,0.0,0.1,0.1,0.2,0.05,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0.033,0.0,0.05,0.05,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.05,0.15,0.1,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0.0,0.1,0.05,0.1,0.0,0.1,0.15,0.0,0.15,0.0,0.05,0.1,0.1,0.05,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0.021,0.05,0.05,0.05,0.1,0.0,0.0,0.0,0.05,0.0,0.05,0.2,0.0,0.05,0.25,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0.047,0.05,0.05,0.1,0.1,0.0,0.1,0.05,0.05,0.05,0.0,0.05,0.1,0.1,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.1,0.2,0.05,0.0,0.25,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0.0,0.05,0.05,0.1,0.05,0.05,0.0,0.1,0.0,0.05,0.15,0.1,0.1,0.05,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0.029,0.05,0.05,0.1,0.05,0.0,0.05,0.05,0.0,0.1,0.0,0.05,0.15,0.0,0.05,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0.0,0.1,0.05,0.0,0.1,0.1,0.15,0.0,0.0,0.15,0.1,0.1,0.0,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0.049,0.05,0.1,0.05,0.05,0.0,0.1,0.05,0.1,0.1,0.05,0.05,0.1,0.05,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0.031,0.1,0.05,0.0,0.1,0.1,0.1,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.15,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0.057,0.0,0.05,0.1,0.1,0.05,0.0,0.0,0.0,0.1,0.05,0.1,0.1,0.0,0.15,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0.0,0.05,0.05,0.1,0.1,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.15,0.15,0.0,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0.0,0.05,0.05,0.05,0.05,0.0,0.0,0.1,0.0,0.05,0.05,0.1,0.1,0.1,0.05,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0.023,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.1,0.05,0.05,0.5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0.026,0.1,0.1,0.05,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.1,0.25,0.05,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0.0,0.1,0.0,0.15,0.15,0.2,0.1,0.05,0.0,0.05,0.0,0.0,0.1,0.1,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0.0,0.1,0.05,0.05,0.1,0.05,0.0,0.1,0.0,0.0,0.1,0.15,0.1,0.05,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.2,0.0,0.05,0.0,0.15,0.05,0.2,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0.023,0.2,0.0,0.0,0.15,0.15,0.1,0.05,0.0,0.05,0.05,0.05,0.05,0.1,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0.103,0.05,0.15,0.05,0.05,0.0,0.0,0.0,0.15,0.0,0.15,0.05,0.0,0.0,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0.0,0.1,0.0,0.05,0.0,0.05,0.1,0.05,0.05,0.05,0.0,0.15,0.1,0.05,0.15,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0.0,0.05,0.05,0.0,0.05,0.25,0.05,0.2,0.0,0.1,0.05,0.0,0.05,0.15,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0.028,0.05,0.0,0.1,0.1,0.1,0.05,0.05,0.0,0.05,0.0,0.0,0.05,0.1,0.0,0.3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0.026,0.15,0.1,0.0,0.1,0.05,0.05,0.15,0.0,0.1,0.0,0.05,0.1,0.05,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0.0,0.05,0.0,0.0,0.05,0.05,0.1,0.1,0.0,0.05,0.0,0.05,0.0,0.2,0.0,0.35,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,0.0,0.1,0.0,0.0,0.0,0.3,0.05,0.2,0.0,0.0,0.0,0.05,0.1,0.15,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0.1,0.05,0.0,0.05,0.0,0.05,0.05,0.1,0.0,0.0,0.05,0.1,0.15,0.1,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0.0,0.1,0.0,0.05,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,0.096,0.0,0.05,0.05,0.05,0.0,0.1,0.0,0.0,0.1,0.15,0.1,0.0,0.05,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0.029,0.0,0.05,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.15,0.15,0.1,0.05,0.1,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,0.0,0.1,0.0,0.0,0.1,0.15,0.1,0.1,0.0,0.0,0.0,0.1,0.05,0.2,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0.0,0.05,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.05,0.2,0.15,0.0,0.05,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,0.06,0.1,0.05,0.05,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.15,0.2,0.05,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,0.056,0.1,0.0,0.0,0.1,0.15,0.15,0.05,0.0,0.1,0.0,0.05,0.0,0.05,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0.024,0.05,0.05,0.0,0.0,0.15,0.05,0.05,0.0,0.0,0.15,0.2,0.05,0.05,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,0.0,0.0,0.0,0.05,0.0,0.1,0.05,0.1,0.05,0.05,0.1,0.0,0.0,0.1,0.05,0.35,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0.046,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0.0,0.05,0.1,0.0,0.0,0.0,0.15,0.0,0.1,0.05,0.35,0.05,0.05,0.05,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,0.029,0.15,0.05,0.0,0.1,0.05,0.1,0.05,0.0,0.05,0.1,0.05,0.05,0.05,0.0,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0.028,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.2,0.1,0.05,0.15,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0.0,0.05,0.0,0.0,0.0,0.25,0.05,0.15,0.0,0.1,0.05,0.05,0.05,0.05,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,0.0,0.1,0.0,0.05,0.1,0.05,0.05,0.05,0.0,0.1,0.05,0.15,0.05,0.0,0.15,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0.0,0.05,0.05,0.05,0.1,0.1,0.0,0.0,0.0,0.05,0.05,0.15,0.05,0.05,0.15,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,0.054,0.15,0.0,0.05,0.1,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.2,0.0,0.0,0.0,0.1,0.0,0.25,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,0.026,0.0,0.1,0.0,0.05,0.1,0.05,0.05,0.0,0.15,0.1,0.1,0.05,0.05,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0.093,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.1,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0.086,0.05,0.0,0.1,0.0,0.1,0.05,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,0.078,0.05,0.05,0.0,0.05,0.0,0.15,0.0,0.05,0.05,0.15,0.1,0.0,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.1,0.0,0.1,0.15,0.1,0.05,0.05,0.15,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,0.0,0.1,0.1,0.0,0.05,0.0,0.1,0.05,0.1,0.05,0.2,0.1,0.0,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0.0,0.0,0.1,0.0,0.05,0.0,0.1,0.05,0.0,0.1,0.15,0.2,0.05,0.1,0.1,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,0.0,0.1,0.0,0.1,0.1,0.15,0.05,0.1,0.05,0.0,0.0,0.0,0.05,0.1,0.0,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.15,0.0,0.05,0.15,0.05,0.1,0.1,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,0.023,0.05,0.05,0.05,0.15,0.0,0.0,0.1,0.0,0.05,0.1,0.05,0.05,0.1,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0.0,0.15,0.0,0.05,0.1,0.05,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0.077,0.0,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,0.0,0.1,0.05,0.0,0.0,0.05,0.1,0.05,0.1,0.05,0.25,0.05,0.05,0.05,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0.0,0.1,0.05,0.1,0.1,0.0,0.0,0.1,0.05,0.0,0.05,0.1,0.1,0.1,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,0.0,0.05,0.1,0.05,0.05,0.15,0.1,0.0,0.0,0.05,0.0,0.2,0.1,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0.022,0.05,0.05,0.1,0.05,0.05,0.05,0.1,0.0,0.05,0.0,0.05,0.15,0.1,0.0,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.15,0.05,0.35,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0.108,0.0,0.15,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.1,0.15,0.1,0.1,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,0.0,0.05,0.1,0.05,0.15,0.05,0.1,0.0,0.0,0.1,0.05,0.1,0.1,0.1,0.0,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0.119,0.0,0.1,0.15,0.05,0.0,0.0,0.0,0.1,0.05,0.0,0.05,0.1,0.0,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0.026,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.05,0.0,0.2,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,0.043,0.1,0.1,0.0,0.15,0.2,0.0,0.1,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.15,0.0,0.05,0.05,0.05,0.0,0.2,0.0,0.3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,0.027,0.05,0.0,0.15,0.05,0.1,0.05,0.1,0.0,0.05,0.0,0.1,0.15,0.05,0.1,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,0.019,0.05,0.05,0.05,0.05,0.1,0.0,0.05,0.05,0.05,0.1,0.1,0.05,0.0,0.15,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,0.082,0.0,0.0,0.1,0.05,0.2,0.05,0.1,0.0,0.1,0.05,0.0,0.0,0.15,0.05,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,0.0,0.05,0.05,0.0,0.05,0.15,0.1,0.1,0.05,0.15,0.05,0.0,0.0,0.1,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,0.0,0.1,0.0,0.05,0.15,0.2,0.05,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.1,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
