nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
P42,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,9,9,0.0,9.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,18,18,0.0,18.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,6,6,0.0,6.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,6,6,0.0,6.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P141,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P142,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P143,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P144,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P145,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P146,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P147,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P148,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P149,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P150,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P151,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P152,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P153,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P154,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P155,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P156,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P157,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P158,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P159,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P160,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P161,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P162,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P163,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P164,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P165,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P166,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P167,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P168,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P169,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P170,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P171,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P172,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P173,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P174,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P175,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P176,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P177,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P178,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P179,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P180,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P181,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P182,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P183,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P184,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P185,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P186,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P187,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P188,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P189,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P190,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P191,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P192,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P193,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P194,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P195,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P196,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P197,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P198,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P199,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P200,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P201,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P202,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P203,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P204,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P205,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P206,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P207,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P208,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P209,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P210,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P211,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P212,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P213,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P214,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P215,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P216,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P217,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P218,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P219,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P220,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P221,9,9,0.0,9.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P222,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P223,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P224,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P225,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P226,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P227,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P228,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P229,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P230,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P231,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P232,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P233,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P234,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P235,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P236,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P237,9,9,0.0,9.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P238,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P239,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P240,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P241,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P242,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P243,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P244,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P245,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P246,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P247,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P248,12,12,0.0,12.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P249,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
