nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,label
P62,0.018,0.1,0.066,0.066,0.066,0.066,0.1,0.033,0.133,0.066,0.033,0.033,0.0,0.033,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0.0,0.1,0.033,0.066,0.133,0.166,0.033,0.066,0.0,0.033,0.066,0.033,0.066,0.066,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0.056,0.0,0.033,0.133,0.066,0.0,0.0,0.1,0.0,0.033,0.0,0.066,0.133,0.1,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0.014,0.033,0.066,0.066,0.033,0.1,0.066,0.066,0.1,0.066,0.0,0.1,0.066,0.066,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0.03,0.133,0.0,0.066,0.066,0.033,0.033,0.1,0.066,0.066,0.133,0.0,0.066,0.033,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0.056,0.066,0.133,0.1,0.066,0.033,0.0,0.066,0.1,0.066,0.033,0.033,0.1,0.0,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0.017,0.066,0.066,0.033,0.1,0.066,0.0,0.133,0.033,0.1,0.033,0.033,0.033,0.1,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0.035,0.1,0.0,0.033,0.0,0.0,0.066,0.233,0.033,0.0,0.0,0.066,0.1,0.166,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0.0,0.033,0.0,0.066,0.033,0.1,0.1,0.033,0.033,0.133,0.166,0.033,0.033,0.033,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0.0,0.1,0.066,0.033,0.033,0.033,0.066,0.1,0.066,0.066,0.0,0.066,0.133,0.033,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0.073,0.066,0.033,0.033,0.033,0.133,0.033,0.133,0.0,0.0,0.0,0.033,0.1,0.133,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0.045,0.1,0.033,0.066,0.0,0.033,0.0,0.1,0.033,0.0,0.0,0.1,0.166,0.0,0.066,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0.0,0.033,0.066,0.133,0.033,0.066,0.066,0.066,0.066,0.1,0.066,0.0,0.1,0.033,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0.014,0.166,0.0,0.033,0.133,0.166,0.066,0.066,0.0,0.033,0.0,0.066,0.1,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0.0,0.066,0.033,0.066,0.133,0.133,0.066,0.033,0.0,0.133,0.033,0.033,0.066,0.033,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0.03,0.033,0.133,0.1,0.1,0.066,0.0,0.066,0.033,0.1,0.0,0.033,0.133,0.033,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0.014,0.0,0.066,0.066,0.0,0.033,0.133,0.066,0.1,0.133,0.033,0.066,0.033,0.066,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0.017,0.0,0.033,0.166,0.066,0.1,0.066,0.033,0.0,0.066,0.0,0.033,0.133,0.1,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0.0,0.166,0.0,0.033,0.1,0.1,0.033,0.2,0.033,0.033,0.0,0.033,0.066,0.133,0.066,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0.018,0.2,0.033,0.033,0.166,0.166,0.033,0.033,0.0,0.0,0.0,0.1,0.1,0.033,0.033,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0.085,0.133,0.033,0.1,0.133,0.1,0.0,0.1,0.0,0.0,0.0,0.033,0.1,0.1,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0.017,0.033,0.033,0.133,0.1,0.033,0.0,0.066,0.0,0.033,0.0,0.1,0.066,0.1,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0.039,0.033,0.033,0.166,0.0,0.066,0.066,0.033,0.1,0.033,0.066,0.033,0.133,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0.016,0.133,0.0,0.1,0.1,0.033,0.033,0.033,0.033,0.033,0.066,0.1,0.1,0.033,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0.013,0.1,0.0,0.0,0.0,0.333,0.133,0.033,0.033,0.066,0.033,0.033,0.066,0.0,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0.016,0.133,0.033,0.066,0.1,0.066,0.0,0.133,0.0,0.0,0.0,0.033,0.133,0.1,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0.077,0.1,0.1,0.066,0.133,0.0,0.033,0.066,0.0,0.1,0.0,0.033,0.1,0.033,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0.017,0.033,0.033,0.066,0.1,0.233,0.0,0.133,0.0,0.033,0.033,0.0,0.066,0.133,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0.0,0.066,0.033,0.0,0.033,0.0,0.133,0.1,0.066,0.1,0.066,0.1,0.0,0.1,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0.0,0.033,0.0,0.033,0.0,0.2,0.133,0.066,0.0,0.1,0.133,0.066,0.066,0.066,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0.0,0.0,0.133,0.0,0.033,0.133,0.1,0.066,0.066,0.133,0.1,0.1,0.033,0.066,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,0.019,0.1,0.033,0.066,0.1,0.166,0.0,0.133,0.0,0.066,0.0,0.033,0.1,0.066,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0.0,0.1,0.066,0.066,0.133,0.033,0.0,0.033,0.033,0.066,0.066,0.1,0.033,0.033,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0.034,0.033,0.033,0.066,0.033,0.033,0.033,0.033,0.033,0.033,0.066,0.133,0.066,0.033,0.133,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,0.017,0.066,0.033,0.066,0.066,0.2,0.166,0.033,0.033,0.133,0.0,0.033,0.066,0.066,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0.034,0.1,0.066,0.066,0.066,0.0,0.066,0.033,0.066,0.066,0.1,0.066,0.066,0.0,0.066,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,0.013,0.066,0.033,0.066,0.033,0.033,0.166,0.066,0.066,0.1,0.033,0.0,0.033,0.1,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0.047,0.1,0.133,0.066,0.1,0.0,0.0,0.1,0.033,0.066,0.0,0.033,0.166,0.033,0.0,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,0.016,0.0,0.033,0.033,0.0,0.033,0.033,0.166,0.0,0.066,0.033,0.1,0.066,0.133,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,0.058,0.0,0.033,0.033,0.033,0.1,0.066,0.133,0.0,0.133,0.0,0.033,0.0,0.1,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0.0,0.033,0.066,0.0,0.033,0.1,0.1,0.1,0.033,0.1,0.066,0.1,0.033,0.1,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,0.045,0.066,0.066,0.033,0.066,0.066,0.0,0.066,0.066,0.066,0.0,0.1,0.033,0.0,0.166,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0.049,0.266,0.0,0.033,0.2,0.1,0.033,0.1,0.0,0.033,0.0,0.0,0.1,0.033,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0.069,0.033,0.033,0.1,0.066,0.066,0.033,0.1,0.033,0.033,0.0,0.066,0.033,0.133,0.066,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,0.0,0.066,0.033,0.066,0.066,0.133,0.066,0.1,0.0,0.1,0.0,0.033,0.066,0.066,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0.089,0.066,0.033,0.066,0.066,0.066,0.066,0.033,0.033,0.066,0.033,0.033,0.066,0.033,0.066,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0.084,0.1,0.0,0.1,0.066,0.033,0.033,0.1,0.033,0.0,0.033,0.0,0.1,0.1,0.0,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,0.017,0.066,0.066,0.033,0.033,0.1,0.066,0.1,0.033,0.066,0.1,0.066,0.1,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0.0,0.033,0.0,0.033,0.033,0.266,0.1,0.1,0.0,0.066,0.0,0.033,0.0,0.166,0.0,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,0.0,0.1,0.033,0.0,0.033,0.1,0.0,0.166,0.0,0.066,0.0,0.1,0.1,0.033,0.133,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,0.0,0.066,0.0,0.1,0.033,0.166,0.033,0.066,0.033,0.0,0.0,0.033,0.1,0.1,0.033,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,0.016,0.066,0.033,0.0,0.066,0.233,0.033,0.133,0.0,0.066,0.066,0.033,0.066,0.066,0.033,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0.0,0.0,0.033,0.033,0.033,0.133,0.1,0.133,0.033,0.166,0.0,0.066,0.033,0.066,0.133,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0.0,0.033,0.066,0.066,0.066,0.033,0.066,0.1,0.033,0.033,0.0,0.066,0.066,0.166,0.0,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,0.03,0.033,0.066,0.066,0.1,0.0,0.0,0.066,0.0,0.033,0.066,0.066,0.033,0.1,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0.06,0.1,0.033,0.066,0.0,0.0,0.0,0.133,0.033,0.066,0.0,0.066,0.166,0.0,0.1,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,0.02,0.066,0.033,0.033,0.033,0.033,0.133,0.1,0.033,0.133,0.033,0.066,0.066,0.066,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0.0,0.166,0.066,0.066,0.2,0.1,0.0,0.1,0.066,0.033,0.0,0.0,0.066,0.1,0.0,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,0.047,0.033,0.133,0.033,0.1,0.0,0.0,0.033,0.033,0.033,0.066,0.1,0.1,0.033,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,0.0,0.033,0.0,0.0,0.033,0.133,0.133,0.033,0.0,0.066,0.066,0.133,0.0,0.066,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,0.0,0.066,0.033,0.066,0.1,0.066,0.033,0.033,0.033,0.066,0.066,0.133,0.033,0.033,0.166,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0.033,0.033,0.133,0.1,0.133,0.033,0.0,0.0,0.1,0.033,0.0,0.033,0.033,0.066,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0.033,0.1,0.033,0.066,0.1,0.0,0.0,0.033,0.033,0.0,0.133,0.1,0.033,0.033,0.1,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,0.013,0.033,0.066,0.1,0.066,0.1,0.0,0.066,0.033,0.033,0.133,0.033,0.1,0.066,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0.018,0.033,0.1,0.1,0.1,0.066,0.0,0.1,0.066,0.066,0.1,0.033,0.066,0.1,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,0.017,0.0,0.066,0.066,0.0,0.133,0.033,0.133,0.0,0.166,0.033,0.033,0.133,0.033,0.1,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0.018,0.033,0.033,0.1,0.1,0.066,0.033,0.066,0.0,0.1,0.033,0.066,0.066,0.1,0.1,0.066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,0.0,0.066,0.0,0.066,0.033,0.033,0.2,0.066,0.0,0.1,0.033,0.133,0.1,0.133,0.033,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0.0,0.0,0.033,0.1,0.1,0.1,0.1,0.0,0.033,0.166,0.166,0.066,0.0,0.033,0.1,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,0.016,0.033,0.033,0.066,0.033,0.133,0.0,0.066,0.033,0.066,0.1,0.1,0.066,0.0,0.133,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0.016,0.033,0.066,0.0,0.066,0.133,0.1,0.0,0.0,0.066,0.1,0.133,0.033,0.066,0.033,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0.017,0.066,0.033,0.066,0.066,0.066,0.033,0.033,0.0,0.066,0.1,0.033,0.1,0.0,0.066,0.233,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,0.03,0.166,0.0,0.033,0.066,0.3,0.1,0.0,0.033,0.033,0.0,0.033,0.066,0.0,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P135,0.029,0.066,0.066,0.033,0.066,0.033,0.0,0.1,0.033,0.0,0.1,0.066,0.066,0.1,0.033,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P136,0.016,0.166,0.066,0.1,0.133,0.033,0.066,0.066,0.1,0.033,0.033,0.0,0.1,0.066,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P137,0.03,0.066,0.033,0.1,0.066,0.0,0.1,0.033,0.033,0.166,0.1,0.0,0.1,0.0,0.033,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P138,0.018,0.0,0.033,0.133,0.033,0.1,0.033,0.033,0.066,0.1,0.1,0.0,0.1,0.0,0.066,0.166,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P139,0.0,0.1,0.0,0.033,0.066,0.166,0.166,0.033,0.033,0.133,0.033,0.066,0.033,0.033,0.066,0.033,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P140,0.0,0.0,0.0,0.066,0.0,0.066,0.166,0.033,0.033,0.033,0.0,0.2,0.033,0.133,0.1,0.133,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
