nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,pseknc-16,label
P13,0.0,0.013,0.013,0.026,0.0,0.0,0.013,0.052,0.013,0.013,0.026,0.052,0.026,0.039,0.065,0.039,0.607,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0.011,0.011,0.034,0.0,0.011,0.022,0.034,0.011,0.011,0.011,0.022,0.068,0.011,0.034,0.022,0.022,0.655,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0.013,0.013,0.0,0.041,0.027,0.027,0.013,0.027,0.013,0.013,0.0,0.013,0.013,0.041,0.027,0.125,0.58,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0.026,0.04,0.0,0.026,0.026,0.067,0.04,0.026,0.0,0.04,0.013,0.013,0.026,0.026,0.013,0.013,0.597,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0.045,0.011,0.011,0.056,0.011,0.0,0.011,0.022,0.022,0.0,0.0,0.022,0.045,0.034,0.034,0.011,0.659,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0.032,0.021,0.021,0.01,0.0,0.0,0.01,0.021,0.021,0.0,0.01,0.043,0.043,0.01,0.032,0.043,0.675,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0.045,0.045,0.034,0.0,0.057,0.034,0.011,0.011,0.011,0.034,0.022,0.011,0.022,0.0,0.0,0.0,0.655,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0.033,0.022,0.033,0.011,0.033,0.011,0.0,0.011,0.022,0.022,0.044,0.022,0.011,0.0,0.033,0.022,0.668,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0.0,0.043,0.0,0.032,0.0,0.01,0.032,0.032,0.043,0.032,0.0,0.0,0.032,0.0,0.043,0.021,0.67,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0.0,0.025,0.0,0.012,0.012,0.025,0.05,0.063,0.025,0.025,0.012,0.012,0.0,0.076,0.012,0.025,0.618,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0.011,0.011,0.011,0.034,0.011,0.034,0.046,0.011,0.011,0.023,0.011,0.023,0.034,0.034,0.011,0.023,0.652,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0.013,0.0,0.013,0.041,0.041,0.054,0.013,0.013,0.0,0.041,0.027,0.013,0.027,0.027,0.027,0.054,0.589,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0.0,0.012,0.012,0.012,0.0,0.025,0.063,0.037,0.037,0.037,0.0,0.012,0.0,0.05,0.025,0.05,0.621,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0.012,0.025,0.025,0.0,0.025,0.103,0.025,0.038,0.0,0.038,0.025,0.012,0.025,0.012,0.012,0.0,0.613,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0.0,0.013,0.013,0.013,0.013,0.123,0.0,0.041,0.0,0.027,0.013,0.013,0.027,0.013,0.041,0.055,0.586,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0.0,0.034,0.011,0.023,0.046,0.057,0.023,0.0,0.011,0.034,0.011,0.011,0.0,0.011,0.023,0.046,0.652,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0.011,0.022,0.022,0.011,0.022,0.045,0.0,0.034,0.011,0.011,0.011,0.034,0.022,0.022,0.034,0.022,0.658,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0.035,0.035,0.0,0.035,0.023,0.035,0.023,0.035,0.011,0.011,0.0,0.023,0.023,0.035,0.023,0.0,0.64,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0.01,0.01,0.04,0.03,0.03,0.0,0.0,0.0,0.03,0.02,0.03,0.01,0.03,0.0,0.02,0.04,0.693,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0.0,0.013,0.013,0.027,0.054,0.041,0.013,0.041,0.0,0.027,0.0,0.013,0.0,0.068,0.027,0.068,0.589,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0.036,0.036,0.012,0.036,0.024,0.012,0.024,0.012,0.012,0.012,0.012,0.024,0.036,0.012,0.024,0.036,0.637,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0.0,0.009,0.029,0.019,0.009,0.009,0.009,0.009,0.038,0.009,0.029,0.029,0.009,0.009,0.048,0.019,0.708,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0.037,0.012,0.0,0.062,0.025,0.012,0.012,0.012,0.012,0.025,0.012,0.037,0.037,0.0,0.062,0.012,0.623,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0.013,0.026,0.0,0.026,0.013,0.026,0.013,0.078,0.013,0.026,0.013,0.0,0.026,0.052,0.026,0.039,0.608,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0.011,0.011,0.023,0.023,0.0,0.0,0.011,0.046,0.011,0.011,0.023,0.011,0.046,0.034,0.011,0.069,0.65,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0.0,0.012,0.012,0.012,0.0,0.036,0.012,0.049,0.0,0.036,0.012,0.036,0.036,0.012,0.049,0.049,0.631,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0.0,0.0,0.012,0.037,0.012,0.0,0.012,0.037,0.012,0.05,0.05,0.012,0.037,0.012,0.05,0.037,0.622,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0.011,0.011,0.023,0.035,0.035,0.023,0.023,0.023,0.011,0.023,0.011,0.023,0.023,0.059,0.0,0.011,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0.0,0.028,0.0,0.014,0.028,0.07,0.042,0.056,0.0,0.028,0.0,0.014,0.028,0.056,0.0,0.056,0.575,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0.034,0.011,0.022,0.011,0.022,0.022,0.011,0.034,0.011,0.022,0.045,0.0,0.011,0.034,0.011,0.034,0.656,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0.011,0.0,0.023,0.023,0.023,0.011,0.035,0.023,0.011,0.023,0.011,0.035,0.023,0.059,0.0,0.035,0.643,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0.0,0.025,0.025,0.0,0.025,0.051,0.0,0.051,0.0,0.012,0.0,0.038,0.025,0.025,0.038,0.063,0.617,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0.039,0.039,0.029,0.009,0.029,0.0,0.0,0.019,0.039,0.009,0.019,0.009,0.0,0.009,0.029,0.009,0.703,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0.032,0.0,0.021,0.032,0.0,0.021,0.01,0.021,0.032,0.021,0.065,0.0,0.021,0.0,0.021,0.021,0.674,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0.0,0.023,0.011,0.0,0.0,0.011,0.011,0.047,0.011,0.011,0.035,0.059,0.023,0.023,0.047,0.035,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0.034,0.022,0.022,0.011,0.022,0.08,0.022,0.0,0.011,0.022,0.045,0.011,0.022,0.0,0.0,0.011,0.655,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0.022,0.022,0.022,0.033,0.022,0.011,0.022,0.033,0.022,0.033,0.011,0.011,0.022,0.022,0.022,0.0,0.665,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0.012,0.038,0.0,0.025,0.038,0.064,0.051,0.012,0.0,0.038,0.012,0.025,0.025,0.012,0.012,0.012,0.615,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0.0,0.013,0.0,0.041,0.013,0.0,0.041,0.027,0.013,0.055,0.041,0.027,0.027,0.013,0.041,0.055,0.587,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0.043,0.01,0.01,0.032,0.0,0.01,0.021,0.01,0.032,0.0,0.043,0.032,0.032,0.01,0.032,0.0,0.675,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0.0,0.021,0.01,0.042,0.021,0.031,0.01,0.01,0.021,0.0,0.021,0.01,0.031,0.01,0.01,0.063,0.681,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,0.0,0.013,0.026,0.0,0.013,0.039,0.0,0.013,0.0,0.013,0.026,0.065,0.026,0.0,0.052,0.104,0.606,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0.012,0.012,0.024,0.086,0.024,0.0,0.0,0.024,0.0,0.012,0.0,0.024,0.111,0.012,0.012,0.012,0.628,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,0.0,0.0,0.039,0.026,0.039,0.039,0.026,0.026,0.0,0.039,0.0,0.013,0.026,0.039,0.0,0.079,0.602,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0.029,0.014,0.0,0.029,0.029,0.014,0.0,0.043,0.0,0.014,0.0,0.014,0.014,0.058,0.029,0.145,0.564,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0.012,0.012,0.024,0.036,0.024,0.048,0.012,0.012,0.012,0.012,0.0,0.036,0.036,0.024,0.024,0.036,0.638,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0.011,0.011,0.035,0.023,0.0,0.0,0.011,0.023,0.011,0.0,0.011,0.047,0.058,0.023,0.011,0.07,0.647,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,0.023,0.0,0.034,0.023,0.023,0.034,0.011,0.023,0.011,0.034,0.023,0.011,0.011,0.034,0.011,0.034,0.65,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0.019,0.049,0.009,0.019,0.019,0.019,0.009,0.009,0.039,0.0,0.029,0.009,0.009,0.0,0.029,0.019,0.703,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.04,0.02,0.01,0.01,0.0,0.01,0.02,0.03,0.698,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0.0,0.037,0.012,0.025,0.05,0.063,0.012,0.025,0.0,0.012,0.025,0.012,0.025,0.025,0.0,0.05,0.62,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0.04,0.0,0.013,0.054,0.027,0.0,0.0,0.04,0.0,0.013,0.0,0.027,0.054,0.04,0.027,0.067,0.592,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0.01,0.01,0.021,0.021,0.01,0.032,0.021,0.021,0.032,0.021,0.0,0.032,0.021,0.021,0.032,0.01,0.674,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0.023,0.047,0.0,0.023,0.023,0.011,0.011,0.035,0.023,0.023,0.047,0.0,0.023,0.011,0.023,0.023,0.645,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0.028,0.019,0.038,0.028,0.019,0.009,0.0,0.019,0.028,0.019,0.009,0.009,0.028,0.0,0.019,0.009,0.712,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0.011,0.023,0.023,0.011,0.034,0.023,0.0,0.046,0.011,0.034,0.011,0.011,0.011,0.034,0.023,0.034,0.652,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0.025,0.037,0.0,0.012,0.0,0.0,0.025,0.088,0.012,0.0,0.0,0.025,0.037,0.063,0.012,0.037,0.621,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0.0,0.012,0.0,0.025,0.012,0.037,0.037,0.012,0.012,0.05,0.063,0.012,0.012,0.012,0.037,0.037,0.62,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0.0,0.032,0.021,0.01,0.01,0.01,0.021,0.032,0.021,0.021,0.0,0.021,0.043,0.01,0.021,0.043,0.673,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0.052,0.026,0.013,0.013,0.013,0.052,0.013,0.052,0.0,0.0,0.0,0.013,0.039,0.052,0.0,0.052,0.608,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0.036,0.036,0.012,0.024,0.0,0.012,0.0,0.036,0.012,0.0,0.0,0.036,0.06,0.0,0.024,0.072,0.638,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0.0,0.01,0.021,0.043,0.01,0.021,0.021,0.021,0.021,0.032,0.021,0.0,0.032,0.01,0.01,0.043,0.676,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0.011,0.058,0.0,0.011,0.046,0.058,0.023,0.023,0.0,0.011,0.0,0.023,0.035,0.011,0.011,0.023,0.647,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0.0,0.027,0.013,0.027,0.054,0.054,0.027,0.013,0.0,0.054,0.013,0.013,0.027,0.013,0.013,0.054,0.592,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0.021,0.01,0.042,0.031,0.031,0.021,0.0,0.021,0.01,0.031,0.0,0.01,0.042,0.01,0.01,0.021,0.683,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0.01,0.0,0.021,0.021,0.0,0.01,0.042,0.021,0.032,0.042,0.01,0.021,0.01,0.021,0.032,0.021,0.677,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0.012,0.0,0.012,0.061,0.024,0.037,0.024,0.012,0.0,0.024,0.0,0.012,0.049,0.037,0.012,0.049,0.628,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0.0,0.061,0.0,0.012,0.036,0.036,0.012,0.073,0.012,0.012,0.0,0.012,0.024,0.049,0.024,0.0,0.63,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0.012,0.072,0.012,0.012,0.06,0.06,0.012,0.012,0.0,0.0,0.0,0.036,0.036,0.012,0.012,0.012,0.636,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0.047,0.047,0.011,0.035,0.047,0.035,0.0,0.035,0.0,0.0,0.0,0.011,0.035,0.035,0.0,0.011,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0.013,0.013,0.013,0.053,0.039,0.013,0.0,0.026,0.0,0.013,0.0,0.039,0.026,0.039,0.039,0.066,0.6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0.032,0.01,0.01,0.054,0.0,0.021,0.021,0.01,0.032,0.01,0.021,0.01,0.043,0.01,0.021,0.01,0.671,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0.012,0.05,0.0,0.037,0.037,0.012,0.012,0.012,0.012,0.012,0.025,0.037,0.037,0.012,0.037,0.025,0.623,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0.011,0.035,0.0,0.0,0.0,0.119,0.047,0.011,0.011,0.023,0.011,0.011,0.023,0.0,0.0,0.047,0.642,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0.012,0.051,0.012,0.025,0.038,0.025,0.0,0.051,0.0,0.0,0.0,0.012,0.051,0.038,0.0,0.064,0.613,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0.056,0.034,0.034,0.022,0.045,0.0,0.011,0.022,0.0,0.034,0.0,0.011,0.034,0.011,0.0,0.022,0.658,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0.014,0.014,0.014,0.028,0.043,0.101,0.0,0.057,0.0,0.014,0.014,0.0,0.028,0.057,0.0,0.043,0.565,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0.0,0.023,0.011,0.0,0.011,0.0,0.047,0.035,0.023,0.035,0.023,0.035,0.0,0.035,0.035,0.035,0.644,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0.0,0.014,0.0,0.014,0.0,0.085,0.056,0.028,0.0,0.042,0.056,0.028,0.028,0.028,0.028,0.014,0.573,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0.0,0.0,0.043,0.0,0.01,0.043,0.032,0.021,0.021,0.043,0.032,0.032,0.01,0.021,0.01,0.0,0.673,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P93,0.012,0.038,0.012,0.025,0.038,0.064,0.0,0.051,0.0,0.025,0.0,0.012,0.038,0.025,0.025,0.012,0.614,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P94,0.0,0.034,0.023,0.023,0.046,0.011,0.0,0.011,0.011,0.023,0.023,0.034,0.011,0.011,0.046,0.034,0.653,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P95,0.023,0.011,0.011,0.023,0.011,0.011,0.011,0.011,0.011,0.011,0.023,0.047,0.023,0.011,0.047,0.059,0.645,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P96,0.011,0.023,0.011,0.023,0.023,0.07,0.058,0.011,0.011,0.047,0.0,0.011,0.023,0.023,0.0,0.0,0.646,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P97,0.02,0.031,0.02,0.02,0.02,0.0,0.02,0.01,0.02,0.02,0.031,0.02,0.02,0.0,0.02,0.031,0.685,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P98,0.012,0.024,0.012,0.024,0.012,0.012,0.06,0.024,0.024,0.036,0.012,0.0,0.012,0.036,0.0,0.06,0.635,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P99,0.033,0.033,0.044,0.022,0.033,0.0,0.0,0.033,0.011,0.022,0.0,0.011,0.055,0.011,0.0,0.022,0.669,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P100,0.013,0.0,0.013,0.013,0.0,0.013,0.013,0.067,0.0,0.027,0.013,0.04,0.027,0.054,0.04,0.067,0.593,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P101,0.04,0.0,0.013,0.013,0.013,0.04,0.027,0.054,0.0,0.054,0.0,0.013,0.0,0.04,0.04,0.054,0.592,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P102,0.0,0.011,0.023,0.0,0.011,0.035,0.035,0.035,0.011,0.035,0.023,0.035,0.011,0.035,0.023,0.023,0.646,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P103,0.022,0.022,0.022,0.011,0.022,0.022,0.0,0.022,0.022,0.022,0.0,0.033,0.011,0.0,0.056,0.045,0.661,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P104,0.034,0.091,0.0,0.011,0.068,0.034,0.011,0.034,0.0,0.011,0.0,0.0,0.034,0.011,0.0,0.0,0.656,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P105,0.051,0.012,0.012,0.038,0.025,0.025,0.012,0.038,0.012,0.012,0.0,0.025,0.012,0.051,0.025,0.025,0.611,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P106,0.0,0.025,0.012,0.025,0.025,0.05,0.025,0.038,0.0,0.038,0.0,0.012,0.025,0.025,0.012,0.063,0.618,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P107,0.05,0.025,0.012,0.025,0.025,0.025,0.025,0.012,0.012,0.025,0.012,0.012,0.025,0.012,0.025,0.05,0.617,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P108,0.066,0.039,0.0,0.039,0.026,0.013,0.013,0.039,0.013,0.0,0.013,0.0,0.039,0.039,0.0,0.052,0.603,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P109,0.011,0.022,0.022,0.011,0.011,0.033,0.022,0.033,0.011,0.022,0.033,0.022,0.033,0.011,0.022,0.011,0.669,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P110,0.0,0.014,0.0,0.014,0.014,0.116,0.043,0.043,0.0,0.029,0.0,0.014,0.0,0.072,0.0,0.072,0.562,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P111,0.0,0.037,0.012,0.0,0.012,0.037,0.0,0.062,0.0,0.025,0.0,0.037,0.037,0.012,0.05,0.05,0.623,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P112,0.0,0.028,0.0,0.042,0.014,0.071,0.014,0.028,0.014,0.0,0.0,0.014,0.042,0.042,0.014,0.099,0.571,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P113,0.013,0.026,0.013,0.0,0.026,0.092,0.013,0.052,0.0,0.026,0.026,0.013,0.026,0.026,0.013,0.026,0.604,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P114,0.0,0.0,0.012,0.012,0.012,0.05,0.038,0.05,0.012,0.063,0.0,0.025,0.012,0.025,0.05,0.012,0.618,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P115,0.0,0.013,0.026,0.026,0.026,0.013,0.026,0.039,0.013,0.013,0.0,0.026,0.026,0.065,0.0,0.079,0.604,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P116,0.026,0.013,0.026,0.026,0.039,0.0,0.0,0.026,0.0,0.013,0.026,0.026,0.013,0.039,0.026,0.092,0.603,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P117,0.043,0.032,0.01,0.021,0.0,0.0,0.0,0.043,0.01,0.021,0.0,0.021,0.054,0.0,0.032,0.032,0.67,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P118,0.011,0.023,0.011,0.011,0.011,0.011,0.047,0.035,0.011,0.047,0.011,0.023,0.023,0.023,0.035,0.011,0.64,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P119,0.0,0.056,0.022,0.022,0.067,0.033,0.0,0.033,0.022,0.011,0.0,0.0,0.022,0.033,0.0,0.011,0.663,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P120,0.032,0.01,0.043,0.01,0.032,0.0,0.0,0.01,0.01,0.01,0.021,0.032,0.032,0.01,0.01,0.054,0.67,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P121,0.0,0.014,0.0,0.0,0.014,0.058,0.058,0.014,0.0,0.029,0.029,0.058,0.0,0.029,0.029,0.101,0.563,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P122,0.0,0.023,0.011,0.023,0.035,0.023,0.011,0.011,0.011,0.023,0.023,0.047,0.011,0.011,0.059,0.023,0.644,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P123,0.02,0.01,0.04,0.03,0.04,0.01,0.0,0.0,0.03,0.01,0.0,0.01,0.01,0.02,0.02,0.05,0.697,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P124,0.025,0.037,0.012,0.025,0.037,0.0,0.0,0.012,0.012,0.0,0.05,0.037,0.012,0.012,0.037,0.062,0.624,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P125,0.012,0.012,0.024,0.036,0.024,0.036,0.0,0.024,0.012,0.012,0.048,0.012,0.036,0.024,0.012,0.036,0.638,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P126,0.011,0.011,0.034,0.034,0.034,0.023,0.0,0.034,0.023,0.023,0.034,0.011,0.023,0.034,0.011,0.0,0.651,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P127,0.012,0.0,0.025,0.025,0.0,0.051,0.012,0.051,0.0,0.064,0.012,0.012,0.051,0.012,0.038,0.012,0.615,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P128,0.012,0.012,0.012,0.037,0.037,0.025,0.012,0.025,0.0,0.037,0.012,0.025,0.025,0.037,0.037,0.025,0.624,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P129,0.0,0.026,0.0,0.026,0.013,0.013,0.079,0.026,0.0,0.039,0.013,0.053,0.039,0.053,0.013,0.0,0.601,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P130,0.0,0.0,0.012,0.037,0.037,0.037,0.037,0.0,0.012,0.062,0.062,0.024,0.0,0.012,0.037,0.0,0.625,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P131,0.011,0.011,0.011,0.023,0.011,0.047,0.0,0.023,0.011,0.023,0.035,0.035,0.023,0.0,0.047,0.035,0.641,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P132,0.012,0.012,0.024,0.0,0.024,0.049,0.036,0.0,0.0,0.024,0.036,0.049,0.012,0.024,0.012,0.049,0.63,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P133,0.012,0.025,0.012,0.025,0.025,0.025,0.012,0.012,0.0,0.025,0.037,0.012,0.037,0.0,0.025,0.088,0.62,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P134,0.025,0.064,0.0,0.012,0.025,0.115,0.038,0.0,0.012,0.012,0.0,0.012,0.025,0.0,0.0,0.038,0.613,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
